Site,Title,Company,Ratings,Reviews,Experience,Salary,Location,Description,Job_Post_History,URL
Naukri,Data Scientist - Spark/Python/Redshift,Career Infosystem,,,6-9 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR "," Job OverviewWe are looking for a Data Scientist who will support our product, sales, le...",19 Days Ago,https://www.naukri.com/job-listings-data-scientist-spark-python-redshift-career-infosystem-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-6-to-9-years-271222907042
Naukri,Business Analyst - Corporate Governance Industry - IIM/ISB/MDI/FMS,Primo Hiring,,,1-3 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Delhi / NCR, Bangalore/Bengaluru ", Proven experience in eliciting requirements and testing 1-3 years of experience Previou...,18 Days Ago,https://www.naukri.com/job-listings-business-analyst-corporate-governance-industry-iim-isb-mdi-fms-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-3-years-281222907526
Naukri,Office Assistant - Female - Paldi / Ambawadi / Bodakdev - Ahmedabad,Prime Placement And Manpower Services,,,0-5 Yrs ,"1,25,000 - 2,00,000 PA. ","Ahmedabad(Jaspur +151), Paldi, Satellite ", MBA / Graduate with minimum 6 Months to 2 years work experience as Back Office Executiv...,6 Days Ago,https://www.naukri.com/job-listings-office-assistant-female-paldi-ambawadi-bodakdev-ahmedabad-prime-placement-and-manpower-services-ahmedabad-paldi-satellite-0-to-5-years-090123008939
Naukri,Back Office Executive - Female - Paldi / Ambawadi  - Ahmedabad,Prime Placement And Manpower Services,,,0-5 Yrs ,"1,25,000 - 2,25,000 PA. ","Ahmedabad(Jaspur +151), Gandhinagar, Gujarat ", MBA / Graduate with minimum 6 Months to 2 years work experience as Back Office Executiv...,21 Days Ago,https://www.naukri.com/job-listings-back-office-executive-female-paldi-ambawadi-ahmedabad-prime-placement-and-manpower-services-gandhinagar-ahmedabad-gujarat-0-to-5-years-280822001244
Naukri,Clinical Analyst,Kapil Consultancy,1.6,17 Reviews,0-3 Yrs ,Not disclosed ,Ahmedabad , BSC background candidate --Min - 1 year exp -- Fresher will do - depends on skills and ...,30+ Days Ago,https://www.naukri.com/job-listings-clinical-analyst-kapil-consultancy-ahmedabad-0-to-3-years-011222502264
Naukri,Senior Data Engineer - Data Visualization,Srijan Technologies Pvt. Ltd.,4.4,53 Reviews,3-5 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Indore, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru "," Design, develop, optimize, and maintain data architecture and pipelines that adhere to ...",4 Days Ago,https://www.naukri.com/job-listings-senior-data-engineer-data-visualization-srijan-technologies-pvt-ltd-kolkata-indore-new-delhi-hyderabad-secunderabad-pune-chennai-ahmedabad-gurgaon-gurugram-jaipur-bangalore-bengaluru-3-to-5-years-110123501666
Naukri,"Senior/Technical Data Engineer - Python,SQL",Srijan Technologies Pvt. Ltd.,4.4,53 Reviews,3-6 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Indore, New Delhi, Pune, Chennai, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru "," Experience with SQL, data analysis programming languages (Python), statistical analysis...",4 Days Ago,https://www.naukri.com/job-listings-senior-technical-data-engineer-python-sql-srijan-technologies-pvt-ltd-kolkata-indore-new-delhi-pune-chennai-ahmedabad-gurgaon-gurugram-jaipur-bangalore-bengaluru-3-to-6-years-110123501679
Naukri,Business Analyst,MM STAFFING CAREER CONSULTANTS PRIVATE LIMITED,,,5-7 Yrs ,Not disclosed ,Ahmedabad ," Have to work with business, project, and technology teams to ensure collection of infor...",30+ Days Ago,https://www.naukri.com/job-listings-business-analyst-mm-staffing-career-consultants-private-limited-ahmedabad-5-to-7-years-081222503225
Naukri,Business Analyst,Amnex Infotechnologies,2.7,13 Reviews,3-5 Yrs ,Not disclosed ,Ahmedabad , Must have experience working on large scale projects as well as handling day-to-day ope...,30+ Days Ago,https://www.naukri.com/job-listings-business-analyst-amnex-infotechnologies-ahmedabad-3-to-5-years-221019501875
Naukri,Product Research Analyst,Post A Resume,4.3,14 Reviews,3-4 Yrs ,Not disclosed ,Ahmedabad , Preferably within an e-commerce businessAt least 3-4 years of professional experience i...,30+ Days Ago,https://www.naukri.com/job-listings-product-research-analyst-post-a-resume-hr-consultancy-ahmedabad-3-to-4-years-010322501399
Naukri,Sr. Business Analyst/ Project Coordinator,EK Software Pvt. Ltd.,4.5,3 Reviews,3-8 Yrs ,"5,00,000 - 10,00,000 PA. ",Ahmedabad , Knowledge in project cycle methodologies and management is a mustData analysis - Profic...,4 Days Ago,https://www.naukri.com/job-listings-sr-business-analyst-project-coordinator-ek-software-pvt-ltd-ahmedabad-3-to-8-years-110123009456
Naukri,Sr. Data Engineer (Spark / Pyspark & Azure Data Bricks),DreamBig IT Solutions,,,8-10 Yrs ,Not disclosed ,"Temp. WFH - Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Bangalore/Bengaluru, Delhi / NCR ", Sr. Data Engineer (Spark / Pyspark & Azure Data Bricks)Skills - Data Engineering experi...,30+ Days Ago,https://www.naukri.com/job-listings-sr-data-engineer-spark-pyspark-azure-data-bricks-dreambig-it-solutions-kolkata-mumbai-hyderabad-secunderabad-lucknow-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-8-to-10-years-181122912994
Naukri,Data Scientist - Engine Algorithm,Primo Hiring,,,1-3 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR "," Experience with exploratory data analysis, statistical analysis, and testing, and model...",23 Days Ago,https://www.naukri.com/job-listings-data-scientist-engine-algorithm-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-1-to-3-years-231222911559
Naukri,Data Scientist - Engine Algorithm,Primo Hiring,,,1-3 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru "," Experience with exploratory data analysis, statistical analysis, and testing, and model...",23 Days Ago,https://www.naukri.com/job-listings-data-scientist-engine-algorithm-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-3-years-231222911305
Naukri,GIS Analysts/Sr. GIS Analyst - Agri/Remote Sensing,Amnex Infotechnologies,2.7,13 Reviews,2-6 Yrs ,Not disclosed ,Ahmedabad , Experience in Agriculture field is preferable,30+ Days Ago,https://www.naukri.com/job-listings-gis-analysts-sr-gis-analyst-agri-remote-sensing-amnex-infotechnologies-ahmedabad-2-to-6-years-221019501883
Naukri,Senior Data Scientist,Novartis,4.1,1206 Reviews,3-8 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas) "," Experience - 3 Years to 8 Years Domain Good to have: Commercial Analytics (Pharma, Reta...",2 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-novartis-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-3-to-8-years-130123006198
Naukri,Senior Reporting Analyst,Otis,4.2,486 Reviews,6-12 Yrs ,Not disclosed ,"Ahmedabad, Hyderabad/Secunderabad, Bangalore/Bengaluru "," Very good functional knowledge of HR core systems such as Workday, Time attendance, Ser...",6 Days Ago,https://www.naukri.com/job-listings-senior-reporting-analyst-otis-hyderabad-secunderabad-ahmedabad-bangalore-bengaluru-6-to-12-years-090123501731
Naukri,Treasury Analyst,Global Upside India,,,6-8 Yrs ,"3,25,000 - 8,25,000 PA. ","Hybrid - Ahmedabad, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas) "," Produce routine reports, schedules, and summaries for the business as required Experien...",30+ Days Ago,https://www.naukri.com/job-listings-treasury-analyst-global-upside-india-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-6-to-8-years-061222611714
Naukri,Senior Data Scientist,Srijan Technologies Pvt. Ltd.,4.4,53 Reviews,2-3 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Indore, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru ", Ability to understand a business problem and the available data and identify what techn...,4 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-srijan-technologies-pvt-ltd-kolkata-indore-new-delhi-hyderabad-secunderabad-pune-chennai-ahmedabad-gurgaon-gurugram-jaipur-bangalore-bengaluru-2-to-3-years-110123501671
Naukri,Data Engineer: Business Intelligence,IBM,4.2,15253 Reviews,4-8 Yrs ,Not disclosed ,Ahmedabad , Minimum 4 years of experience in Tableau report development Required Technical and Prof...,16 Days Ago,https://www.naukri.com/job-listings-data-engineer-business-intelligence-ibm-ahmedabad-4-to-8-years-301222911377
Naukri,Data Engineer: Business Intelligence,IBM,4.2,15253 Reviews,4-8 Yrs ,Not disclosed ,Ahmedabad , Minimum 4 years of experience in Tableau report development Proficient in Database and ...,24 Days Ago,https://www.naukri.com/job-listings-data-engineer-business-intelligence-ibm-ahmedabad-4-to-8-years-221222907665
Naukri,Data Entry/Computer Operator/Fresher/Work Form Home/Part-Full Time,Partbiz Hireplix,,,0-5 Yrs ,"1,75,000 - 3,50,000 PA. ","Temp. WFH - Ahmedabad, Pune, Bangalore/Bengaluru ", We are looking for Data Entry Operator Any one can apply Basic Computer Knowledge Must ...,6 Days Ago,https://www.naukri.com/job-listings-data-entry-computer-operator-fresher-work-form-home-part-full-time-partbiz-hireplix-pune-ahmedabad-bangalore-bengaluru-0-to-5-years-081222010672
Naukri,Transfer Pricing Analyst - CA,Serving Skill,,,1-3 Yrs ,Not disclosed ,"Ahmedabad, Gujarat "," Proven transfer pricing experience, ideally from a big 4 accountancy firm Maintain the ...",4 Days Ago,https://www.naukri.com/job-listings-transfer-pricing-analyst-ca-serving-skill-ahmedabad-gujarat-1-to-3-years-110123910671
Naukri,Senior Data Scientist,CES Information Technologies & BPS,3.9,155 Reviews,5-10 Yrs ,Not disclosed ,"Ahmedabad, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru ", Greetings from CES IT LTD.Website Link : https://www.cesltd.com/Headquarted AT : Chicag...,9 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-ces-information-technologies-bps-hyderabad-secunderabad-ahmedabad-chennai-bangalore-bengaluru-5-to-10-years-060123009904
Naukri,Data Scientist,Amnex Infotechnologies,2.7,13 Reviews,3-7 Yrs ,Not disclosed ,Ahmedabad , Key Role Job Description Proven experience as a Machine Learning Engineer or similar ro...,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-amnex-infotechnologies-ahmedabad-3-to-7-years-221019501879
Naukri,Data Scientist,Prompt Softech,4.7,34 Reviews,1-5 Yrs ,Not disclosed ,Ahmedabad ," Job Description Must have experience in R, Python, SQL Develop algorithms and predictiv...",30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-prompt-softech-ahmedabad-1-to-5-years-060421501328
Naukri,Data Analytics Platform Engineer,Iaastha,,,0-4 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Delhi / NCR, Bangalore/Bengaluru "," This job requires core computer science background, Only candidates who are very intere...",18 Days Ago,https://www.naukri.com/job-listings-data-analytics-platform-engineer-iaastha-kolkata-mumbai-hyderabad-secunderabad-lucknow-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-4-years-281222905518
Naukri,Analyst,Heinz,4.4,150 Reviews,3-5 Yrs ,Not disclosed ,Ahmedabad , Driving the company s risk and control roadmap Increasing awareness of controls at the ...,8 Days Ago,https://www.naukri.com/job-listings-analyst-kraft-heinz-company-ahmedabad-3-to-5-years-070123501026
Naukri,Senior Data Scientist - Machine Learning,Global Employees,,,7-12 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Delhi / NCR, Bangalore/Bengaluru ", 5+ years of experience implementing machine learning systems at scale in Python (prefer...,30+ Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-machine-learning-global-employees-kolkata-mumbai-hyderabad-secunderabad-lucknow-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-7-to-12-years-281122907258
Naukri,Data Entry/Computer Operator/Fresher/Work Form Home Part@Full Time,Partbiz Hireplix,,,0-5 Yrs ,"1,50,000 - 3,75,000 PA. ","Temp. WFH - Ahmedabad, Hyderabad/Secunderabad, Mumbai (All Areas) ", We are looking for Data Entry Operator Any one can apply Basic Computer Knowledge Must ...,1 Day Ago,https://www.naukri.com/job-listings-data-entry-computer-operator-fresher-work-form-home-part-full-time-partbiz-hireplix-hyderabad-secunderabad-ahmedabad-mumbai-all-areas-0-to-5-years-150123001946
Naukri,Transfer Pricing Analyst - CA,Serving Skill,,,1-3 Yrs ,Not disclosed ,"Ahmedabad, Gujarat "," Proven transfer pricing experience, ideally from a big 4 accountancy firm Maintain the ...",19 Days Ago,https://www.naukri.com/job-listings-transfer-pricing-analyst-ca-serving-skill-ahmedabad-gujarat-1-to-3-years-271222909069
Naukri,Research Analyst,Seven Consultancy (HR Solution),4.2,2 Reviews,2-3 Yrs ,Not disclosed ,Ahmedabad , Requirements: Bachelors degree in market research or related (essential)Strong proficie...,30+ Days Ago,https://www.naukri.com/job-listings-research-analyst-seven-consultancy-hr-solution-ahmedabad-2-to-3-years-171122501122
Naukri,"Senior /Lead, Data Science - AI/ML",Srijan Technologies Pvt. Ltd.,4.4,53 Reviews,3-7 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Indore, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru "," Experience with building predictive statistical, behavioral or other models via supervi...",4 Days Ago,https://www.naukri.com/job-listings-senior-lead-data-science-ai-ml-srijan-technologies-pvt-ltd-kolkata-indore-new-delhi-hyderabad-secunderabad-pune-chennai-ahmedabad-gurgaon-gurugram-jaipur-bangalore-bengaluru-3-to-7-years-110123501663
Naukri,Senior Data Engineer,Tech Holding,4.7,4 Reviews,2-3 Yrs ,Not disclosed ,Ahmedabad , We are looking to bring on a Senior Data Engineer to join our team You will be responsi...,30+ Days Ago,https://www.naukri.com/job-listings-senior-data-engineer-tech-holding-ahmedabad-2-to-3-years-150922501018
Naukri,Sr. Analyst Global Compensation & Benefits,Apttus,4.3,44 Reviews,5-8 Yrs ,Not disclosed ,"Temp. WFH - Ahmedabad, Pune, Bangalore/Bengaluru "," Bachelor s degree in Human Resources, Finance, Business Administration, or a related fi...",13 Days Ago,https://www.naukri.com/job-listings-sr-analyst-global-compensation-benefits-conga-software-private-limited-pune-ahmedabad-bangalore-bengaluru-5-to-8-years-291022008333
Naukri,Data Scientist,IBM,4.2,15253 Reviews,3-6 Yrs ,Not disclosed ,Ahmedabad , You should be familiar with IBM software solutions across multi-cloud platforms and Red...,30 Days Ago,https://www.naukri.com/job-listings-data-scientist-ibm-india-pvt-limited-ahmedabad-3-to-6-years-161222909439
Naukri,Data Scientist,IBM,4.2,15253 Reviews,3-6 Yrs ,Not disclosed ,Ahmedabad , You should be familiar with IBM software solutions across multi-cloud platforms and Red...,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-ibm-india-pvt-limited-ahmedabad-3-to-6-years-151222911948
Naukri,Job | Business Development & Analyst | Chemistry Segment,Meghmani Finechem Limited,4.1,292 Reviews,3-5 Yrs ,Not disclosed ,Ahmedabad ," Coordination with R&D for new Product development, Benchmark samples arrangement for ne...",25 Days Ago,https://www.naukri.com/job-listings-business-development-analyst-chemistry-segment-meghmani-finechem-limited-ahmedabad-3-to-5-years-211222005553
Naukri,Data Mining,Kapil Consultancy,1.6,17 Reviews,0-4 Yrs ,Not disclosed ,Ahmedabad ," Good knowledge about social media especially LinkedIn, Facebook, Twitter etc",30+ Days Ago,https://www.naukri.com/job-listings-data-mining-kapil-consultancy-ahmedabad-0-to-4-years-011222502292
Naukri,Sr. Analyst Global Compensation & Benefits,Apttus,4.3,44 Reviews,5-10 Yrs ,Not disclosed ,Ahmedabad ," Bachelor s degree in Human Resources, Finance, Business Administration, or a related fi...",4 Days Ago,https://www.naukri.com/job-listings-sr-analyst-global-compensation-benefits-conga-software-private-limited-ahmedabad-5-to-10-years-110123911935
Naukri,Senior Data Scientist,IQM Corporation,3.4,3 Reviews,5-10 Yrs ,Not disclosed ,Ahmedabad ," Prior experience of building, deploying, and maintaining data solutions Prior experienc...",30+ Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-iqm-corporation-ahmedabad-5-to-10-years-141022501166
Naukri,Data Scientist,Radical Technologies,,,2-7 Yrs ,Not disclosed ,"Ahmedabad, Noida, Mumbai, Indore, Pune, Bangalore/Bengaluru ", Good in programming (Python) Good understanding of OOPS concepts Good communication Und...,13 Days Ago,https://www.naukri.com/job-listings-data-scientist-radical-technologies-noida-mumbai-indore-pune-ahmedabad-bangalore-bengaluru-2-to-7-years-020123501736
Naukri,Data Entry/Computer Operator/Fresher/Work Form Home/Part-Full Time,Partbiz Hireplix,,,0-5 Yrs ,"1,50,000 - 3,75,000 PA. ","Temp. WFH - Ahmedabad, Hyderabad/Secunderabad, Pune ", We are looking for Data Entry Operator Any one can apply Basic Computer Knowledge Must ...,18 Days Ago,https://www.naukri.com/job-listings-data-entry-computer-operator-fresher-work-form-home-part-full-time-partbiz-hireplix-hyderabad-secunderabad-pune-ahmedabad-0-to-5-years-281222012829
Naukri,Work FROM Home/DATA Entry/Computer/PART-FULL TIME WORK/Fresher,Marsh Infotech,,,0-5 Yrs ,"3,25,000 - 6,50,000 PA. ","Temp. WFH - Ahmedabad, Kolkata, Gurgaon/Gurugram ", WORK FROM HOME AVAILABLE FOR ONLINE SUPPORT FRESHER & EXPERIENCE BOTH CAN APPLY NEED GO...,21 Days Ago,https://www.naukri.com/job-listings-work-from-home-data-entry-computer-part-full-time-work-fresher-marsh-infotech-kolkata-ahmedabad-gurgaon-gurugram-0-to-5-years-251222001579
Naukri,Data Entry/Computer Operator/Fresher/Work Form Home Part@Full Time,Partbiz Hireplix,,,0-5 Yrs ,"1,75,000 - 3,75,000 PA. ","Temp. WFH - Ahmedabad, Hyderabad/Secunderabad, Pune ", We are looking for Data Entry Operator Any one can apply Basic Computer Knowledge Must ...,27 Days Ago,https://www.naukri.com/job-listings-data-entry-computer-operator-fresher-work-form-home-part-full-time-partbiz-hireplix-hyderabad-secunderabad-pune-ahmedabad-0-to-5-years-191222008885
Naukri,Java Data Scientist - Machine Learning Algorithms,Zorba Consulting India,,,2-5 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Bangalore/Bengaluru, Delhi / NCR ", There Zorba Consulting India is seeking Java developer data scientists to join our team...,16 Days Ago,https://www.naukri.com/job-listings-java-data-scientist-machine-learning-algorithms-zorba-consulting-india-kolkata-mumbai-hyderabad-secunderabad-lucknow-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-2-to-5-years-301222910377
Naukri,Data Scientist - R/Python,Okda Solutions,,,4-7 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Bangalore/Bengaluru, Delhi / NCR ", Permanently work from homeUS SHIFT 3:00 PM TO 12:00 AM IST Bachelors degree in computer...,16 Days Ago,https://www.naukri.com/job-listings-data-scientist-r-python-okda-solutions-kolkata-mumbai-hyderabad-secunderabad-lucknow-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-4-to-7-years-301222909993
Naukri,Data Scientist - R/Python,Okda Solutions,,,4-7 Yrs ,Not disclosed ,"Temp. WFH - Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR ", Permanently work from homeUS SHIFT 3:00 PM TO 12:00 AM IST Bachelors degree in computer...,18 Days Ago,https://www.naukri.com/job-listings-data-scientist-r-python-okda-solutions-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-4-to-7-years-281222907055
Naukri,AVAP Agile Information Systems - Data Scientist - R/SQL/Python,AVAP Agile,,,3-8 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR "," A masters degree within either engineering, physics, IT, mathematicsstatistics, meteoro...",30+ Days Ago,https://www.naukri.com/job-listings-avap-agile-information-systems-data-scientist-r-sql-python-avap-agile-kolkata-mumbai-visakhapatnam-vizag-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-3-to-8-years-281122907280
Naukri,Data Scientist - Artificial Intelligence/Machine Learning Algorithms,Zorba Consulting India Pvt. Ltd.,,,5-10 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR ", Hands on experience on supervised and unsupervised machine learning techniques 5+ years...,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-machine-learning-algorithms-zorba-consulting-india-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-5-to-10-years-241122913282
Naukri,Architecture Data scientist,Zymr Systems,3.6,52 Reviews,8-13 Yrs ,Not disclosed ,"Ahmedabad, Pune, Rajkot, Bangalore/Bengaluru, Vadodara ", We are looking for an expert in Data Engineering to help us extract value from existing...,26 Days Ago,https://www.naukri.com/job-listings-architecture-data-scientist-zymr-systems-pune-ahmedabad-rajkot-bangalore-bengaluru-vadodara-baroda-8-to-13-years-151222008139
Naukri,Senior Database Analyst,Light Microfinance,4.0,116 Reviews,2-5 Yrs ,Not disclosed ,Ahmedabad , Bachelor of Engineering in Computer ScienceA high-levelFamiliarity with cloud concepts ...,30+ Days Ago,https://www.naukri.com/job-listings-senior-database-analyst-light-microfinance-pvt-ltd-ahmedabad-2-to-5-years-130922500809
Naukri,Quality Assurance Executive,Qarmatek Services,3.6,54 Reviews,4-5 Yrs ,"2,25,000 - 3,00,000 PA. ","Ahmedabad(Rakhial), Pune(Wagholi), Bangalore/Bengaluru "," Knowledge of electronics repair (Mobile, Set Top Box) Aware of quality tools like 5S, K...",4 Days Ago,https://www.naukri.com/job-listings-quality-assurance-executive-qarmatek-services-pune-ahmedabad-bangalore-bengaluru-4-to-5-years-010922907391
Naukri,Technical Lead Data Engineering- Tableau,Srijan Technologies Pvt. Ltd.,4.4,53 Reviews,5-9 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Indore, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru "," Experience in data modelling, data loading, data migration, data analysis (must), along...",4 Days Ago,https://www.naukri.com/job-listings-technical-lead-data-engineering-tableau-srijan-technologies-pvt-ltd-kolkata-indore-new-delhi-hyderabad-secunderabad-pune-chennai-ahmedabad-gurgaon-gurugram-jaipur-bangalore-bengaluru-5-to-9-years-110123501685
Naukri,Data Scientist - Sales & Marketing,Hitech Digital Solution LLP,,,2-7 Yrs ,Not disclosed ,Hybrid - Ahmedabad(Prahlad Nagar) , Experience in building marketing models (e.gExperience with clustering and segmentation...,4 Days Ago,https://www.naukri.com/job-listings-data-scientist-sales-marketing-hitech-digital-solution-llp-ahmedabad-2-to-7-years-101022004728
Naukri,Lead Data Scientist,Hi-tech Digital Solutions Llp,4.1,195 Reviews,5-10 Yrs ,Not disclosed ,Hybrid - Ahmedabad(Prahlad Nagar) , Must be able to work across different domains and get a quick sense of the business pro...,4 Days Ago,https://www.naukri.com/job-listings-lead-data-scientist-hi-tech-digital-solutions-llp-ahmedabad-5-to-10-years-101022004587
Naukri,Data Scientist - Supply Chain,Hitech Digital Solution LLP,,,2-7 Yrs ,Not disclosed ,Hybrid - Ahmedabad(Prahlad Nagar) , A minimum of 2 years of experience in applying data & analytics techniques to manufactu...,4 Days Ago,https://www.naukri.com/job-listings-data-scientist-supply-chain-hitech-digital-solution-llp-ahmedabad-2-to-7-years-071022011468
Naukri,Data Scientist,IQM Corporation,3.4,3 Reviews,1-3 Yrs ,Not disclosed ,Ahmedabad , Implement algorithms to solve analytical problems and generate insights Develop and ref...,8 Days Ago,https://www.naukri.com/job-listings-data-scientist-iqm-corporation-ahmedabad-1-to-3-years-070123501003
Naukri,MIS Executive,Qarmatek Services,3.6,54 Reviews,2-4 Yrs ,"1,00,000 - 2,00,000 PA. ",Ahmedabad(Rakhial) ," MIS EXECUTIVE ADVANCE EXCEL VLOOKUP, PIVOT, COUNTIF, ALL FORMULAS COMPUTER OPERATOR",4 Days Ago,https://www.naukri.com/job-listings-mis-executive-qarmatek-services-ahmedabad-2-to-4-years-090123001399
Naukri,Data Built Tool (DBT) Developer,Globant,4.3,334 Reviews,5-10 Yrs ,Not disclosed ,"Hybrid - Ahmedabad, Indore, Pune, Bangalore/Bengaluru ", 10 years of experience in Data Engineering Experience in Data storage technologies like...,9 Days Ago,https://www.naukri.com/job-listings-data-built-tool-dbt-developer-globant-indore-pune-ahmedabad-bangalore-bengaluru-5-to-10-years-050123008771
Naukri,Team Lead - Reporting Analyst,Advantmed,3.7,283 Reviews,3-8 Yrs ,Not disclosed ,"Ahmedabad, Gandhinagar ", Job Description:Designation: Team Lead - Reporting AnalystProcess: US HealthcareShift T...,5 Days Ago,https://www.naukri.com/job-listings-team-lead-reporting-analyst-advantmed-india-llp-gandhinagar-ahmedabad-3-to-8-years-100123006527
Naukri,MIS Executive,Turtlemint,4.0,197 Reviews,0-4 Yrs ,Not disclosed ,Ahmedabad , Knowledge of Tally and Ms Excel is a mustShould be proactive and responsible to prepare...,30+ Days Ago,https://www.naukri.com/job-listings-mis-executive-primohunt-corporate-ahmedabad-0-to-4-years-110722500894
Naukri,Sales & Marketing Executive,Fortunez Global,4.1,22 Reviews,2-3 Yrs ,"1,75,000 - 2,25,000 PA. ",Ahmedabad(Shahibaug) ," Should be a Graduate from any discipline, marketing preferred3 years experience in mark...",6 Days Ago,https://www.naukri.com/job-listings-sales-marketing-executive-fortunez-global-ahmedabad-2-to-3-years-090123009897
Naukri,Data Scientist,Azilen,3.9,33 Reviews,1-3 Yrs ,Not disclosed ,Ahmedabad , Must possess a balance of analytic problem solving and strong interpersonal and relatio...,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-azilen-technologies-pvt-ltd-ahmedabad-1-to-3-years-250722500973
Naukri,Data Scientist,DrivebuddyAI,2.8,2 Reviews,3-5 Yrs ,Not disclosed ,"Hybrid - Ahmedabad, Delhi / NCR ", Must be well-versed with model debugging techniquesExperience with classical ML algorit...,12 Days Ago,https://www.naukri.com/job-listings-data-scientist-drivebuddyai-ahmedabad-delhi-ncr-3-to-5-years-030123006800
Naukri,Data Scientist,IQM Corporation,3.4,3 Reviews,1-3 Yrs ,Not disclosed ,Ahmedabad , Prior experience in Advertising Technology is a plus,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-iqm-corporation-ahmedabad-1-to-3-years-141022501162
